session_id,recording_group,activity_label,environment_label,device_id,person_id_anonymized,distance_m,object_type,csi_shape,agc_shape,fft_shape,sampling_rate_hz,files_present
session_20260118_224110,01_human_activity,sitting,hallway,,P01,9,multiple_people,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json
session_20260118_224252,01_human_activity,walking,hallway,,P01,9,multiple_people,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json
session_20260422_154445,01_human_activity,moving,lab,,P01,6,person,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260422_154621,01_human_activity,moving,lab,,P01,6,person,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260422_155138,01_human_activity,sitting,lab,,P01,1,multiple_people,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260422_155841,01_human_activity,walking,lab,,P01,5,multiple_people,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260423_135536,01_human_activity,sitting,lab,,P01,5,multiple_people,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260425_111407,01_human_activity,sitting,furnished_room,,P01,3,multiple_people,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260425_111847,01_human_activity,sitting,hallway,,P01,2,multiple_people,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260425_120831,01_human_activity,sitting,furnished_room,,P01,4,person,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260425_121041,01_human_activity,sitting,furnished_room,,P01,4,person,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260426_142011,01_human_activity,sitting,office,,P01,1,multiple_people,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260426_142214,01_human_activity,walking,office,,P01,1,multiple_people,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260426_143949,01_human_activity,sitting,office,,P01,1,multiple_people,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260426_144448,01_human_activity,moving,office,,P01,4,multiple_people,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260426_144730,01_human_activity,moving,office,,P01,4,multiple_people,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260426_150629,01_human_activity,walking,office,,P01,1,person,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260426_150915,01_human_activity,walking,office,,P01,1,person,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260426_151111,01_human_activity,walking,office,,P01,1,person,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260427_111535,01_human_activity,sitting,office,,P01,1,multiple_people,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260614_153823,01_human_activity,sitting,hallway,,P02,1,no_object,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260617_142649,01_human_activity,walking,hallway,,P03,3,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260617_143249,01_human_activity,walking,hallway,,P04,3,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260617_145425,01_human_activity,rotating,indoor,,P04,3,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260617_145615,01_human_activity,rotating,indoor,,P04,3,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260617_150212,01_human_activity,none,empty_area,,P05,3,no_object,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260617_150659,01_human_activity,none,empty_area,,P05,3,no_object,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260617_151546,01_human_activity,none,empty_area,,P05,3,no_object,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260618_183047,01_human_activity,walking,indoor,,P06,3,multiple_people,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260620_145857,01_human_activity,sitting,furnished_room,,P07,3,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260130_153113,02_metal_object,none,hallway,,P01,2,static_object,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260130_153258,02_metal_object,none,hallway,,P01,2,static_object,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260130_153417,02_metal_object,none,hallway,,P01,2,static_object,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260321_072304,02_metal_object,none,empty_area,,P01,3,no_object,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260321_073048,02_metal_object,none,empty_area,,P01,3,no_object,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260327_164318,02_metal_object,stationary,empty_area,,P01,2,glass_can,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260327_164608,02_metal_object,moving,empty_area,,P01,2,glass_can,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260327_164858,02_metal_object,moving,empty_area,,P01,2,glass_can,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260327_165057,02_metal_object,moving,empty_area,,P01,2,glass_can,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260327_165155,02_metal_object,moving,empty_area,,P01,2,glass_can,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260327_165613,02_metal_object,moving,empty_area,,P01,2,metal_can,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260327_165932,02_metal_object,moving,empty_area,,P01,2,metal_can,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260327_170337,02_metal_object,moving,empty_area,,P01,2,metal_can,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260327_170847,02_metal_object,stationary,empty_area,,P01,2,plastic_bottles,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260327_171452,02_metal_object,stationary,lab,,P01,1,plastic_bottles,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260327_175300,02_metal_object,stationary,empty_area,,P01,2,wood,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260327_175448,02_metal_object,stationary,empty_area,,P01,2,wood,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260327_175818,02_metal_object,none,empty_area,,P01,2,wood,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260327_181135,02_metal_object,stationary,empty_area,,P01,1,metal,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260327_181331,02_metal_object,stationary,other,,P01,1,metal,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260405_152815,02_metal_object,stationary,lab,,P01,5,ordinary_object,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260417_181636,02_metal_object,stationary,hallway,,P01,4,ordinary_object,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260417_181942,02_metal_object,stationary,furnished_room,,P01,4,ordinary_object,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260422_161038,02_metal_object,none,lab,,P01,5,ordinary_object,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260422_161111,02_metal_object,none,lab,,P01,5,ordinary_object,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260422_161145,02_metal_object,none,lab,,P01,5,ordinary_object,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260423_134056,02_metal_object,stationary,lab,,P01,4,ordinary_object,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260423_142813,02_metal_object,none,lab,,P01,6,ordinary_object,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260426_145405,02_metal_object,none,office,,P01,4,ordinary_object,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260426_145506,02_metal_object,none,office,,P01,4,ordinary_object,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260614_201602,02_metal_object,sitting,hallway,,P08,1,multiple_people,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260614_202029,02_metal_object,sitting,hallway,,P08,1,multiple_people,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260614_202731,02_metal_object,standing,hallway,,P08,1,multiple_people,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260614_202915,02_metal_object,standing,hallway,,P08,1,multiple_people,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260614_203238,02_metal_object,walking,hallway,,P08,1,multiple_people,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260614_203722,02_metal_object,moving,hallway,,P08,1,multiple_people,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260614_203922,02_metal_object,walking,hallway,,P08,1,multiple_people,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260614_204352,02_metal_object,walking,hallway,,P08,1,multiple_people,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260617_144308,02_metal_object,moving,indoor,,P09,3,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260618_231504,02_metal_object,walking,indoor,,P10,3,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260618_231935,02_metal_object,walking,indoor,,P10,3,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260618_232434,02_metal_object,walking,indoor,,P11,3,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260618_232900,02_metal_object,walking,indoor,,P11,3,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260620_122831,02_metal_object,walking,indoor,,P12,1,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260620_123709,02_metal_object,walking,indoor,,P13,1,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260620_124522,02_metal_object,walking,indoor,,P14,1,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260620_125156,02_metal_object,none,indoor,,P15,1,wood,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260620_130257,02_metal_object,standing,indoor,,P16,1,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260620_132821,02_metal_object,walking,indoor,,P17,3,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260620_145857,02_metal_object,sitting,furnished_room,,P07,3,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260620_151200,02_metal_object,sitting,furnished_room,,P18,3,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260620_153622,02_metal_object,sitting,furnished_room,,P19,3,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260620_155539,02_metal_object,standing,furnished_room,,P20,3,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260620_160246,02_metal_object,none,furnished_room,,P21,3,metal_can,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260620_161035,02_metal_object,walking,furnished_room,,P22,3,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260620_161558,02_metal_object,rotating,furnished_room,,P22,3,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260620_163117,02_metal_object,walking,furnished_room,,P23,3,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260620_163905,02_metal_object,walking,furnished_room,,P24,3,plastic_bottles,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260620_164932,02_metal_object,none,furnished_room,,P24,3,plastic_bottles,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260620_165333,02_metal_object,none,furnished_room,,P25,3,plastic_bottles,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260620_181526,02_metal_object,walking,furnished_room,,P26,3,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260620_182613,02_metal_object,standing,furnished_room,,P27,3,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260620_183008,02_metal_object,none,furnished_room,,P28,3,glass_can,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260130_152441,03_environment_with_metal,none,hallway,,P01,2,other,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260130_152522,03_environment_with_metal,none,hallway,,P01,2,other,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260130_152704,03_environment_with_metal,none,hallway,,P01,2,other,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260205_101936,03_environment_with_metal,none,office,,P01,3,no_object,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260215_174206,03_environment_with_metal,none,empty_room,,P01,5,static_object,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260226_124351,03_environment_with_metal,none,furnished_room,,P01,3,ordinary object,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260304_200116,03_environment_with_metal,stationary,lab,,P01,1,other,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260321_072304,03_environment_with_metal,none,empty_area,,P01,3,no_object,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260321_073048,03_environment_with_metal,none,empty_area,,P01,3,no_object,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260327_164318,03_environment_with_metal,stationary,empty_area,,P01,2,glass_can,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260327_164608,03_environment_with_metal,moving,empty_area,,P01,2,glass_can,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260327_164858,03_environment_with_metal,moving,empty_area,,P01,2,glass_can,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260327_165057,03_environment_with_metal,moving,empty_area,,P01,2,glass_can,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260327_165155,03_environment_with_metal,moving,empty_area,,P01,2,glass_can,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
